"participant","age","gender","exclude","IAT_condition","task_order","IAT_D1","SCIAT_D1","rmts_perc_acc","rmts_mastery","mean_rating","IAT_mean_RT","IAT_perc_acc","IAT_exclude_based_on_fast_trials","SCIAT_mean_RT","SCIAT_perc_acc","SCIAT_exclude_based_on_fast_trials"
188050185,36,"female",FALSE,"Flowers-Chinese IAT","rmts first",-0.549,-0.269,100,"pass",3.5,602,95,FALSE,551,94.67,FALSE
189536788,36,"female",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.528,0.118,68.8,"fail",4,802,96.67,FALSE,636,98,FALSE
193072512,38,"male",FALSE,"Insects-Chinese IAT","evaluation tasks first",0.12,0.032,0,"fail",4.67,713,95,FALSE,538,98,FALSE
194269562,38,"male",FALSE,"Flowers-Chinese IAT","rmts first",-1.091,-0.153,75,"fail",4.17,606,86.67,FALSE,550,97.33,FALSE
198956067,31,"female",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.044,-0.268,50,"fail",4,744,98.33,FALSE,584,97.33,FALSE
201457349,55,"female",FALSE,"Insects-Chinese IAT","rmts first",-0.302,0.134,50,"fail",4,860,98.33,FALSE,730,100,FALSE
202818504,42,"male",FALSE,"Insects-Chinese IAT","evaluation tasks first",0.661,0.388,56.2,"fail",4,741,95,FALSE,650,96.67,FALSE
203701544,41,"female",FALSE,"Insects-Chinese IAT","evaluation tasks first",0.839,-0.03,43.8,"fail",4.17,706,97.5,FALSE,559,98,FALSE
205768215,38,"female",FALSE,"Insects-Chinese IAT","evaluation tasks first",0.373,-0.073,37.5,"fail",5.33,777,92.5,FALSE,607,95.33,FALSE
210594139,52,"male",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.317,-0.075,50,"fail",4.5,864,97.5,FALSE,756,96,FALSE
211206188,39,"female",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.346,-0.079,37.5,"fail",5,853,96.67,FALSE,686,99.33,FALSE
218637285,25,"female",FALSE,"Insects-Chinese IAT","rmts first",0.243,0.155,87.5,"pass",4.33,592,87.5,FALSE,506,93.33,FALSE
220631899,24,"female",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.11,0.43,37.5,"fail",4,546,91.67,FALSE,503,84.67,FALSE
224946265,40,"female",FALSE,"Flowers-Chinese IAT","rmts first",-1.084,0.119,68.8,"fail",4.17,674,99.17,FALSE,582,98.67,FALSE
232519460,19,"male",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-1.007,-0.144,31.2,"fail",4.33,744,94.17,FALSE,540,97.33,FALSE
235267708,47,"female",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-1.036,0.002,100,"pass",7,897,85.83,FALSE,687,96.67,FALSE
241250543,24,"male",FALSE,"Insects-Chinese IAT","evaluation tasks first",0.871,0.11,43.8,"fail",3.17,959,93.33,FALSE,869,93.33,FALSE
244636852,27,"male",TRUE,"Flowers-Chinese IAT","evaluation tasks first",-0.765,0.267,31.2,"fail",4.67,388,51.67,TRUE,254,48.99,TRUE
252746017,37,"male",FALSE,"Flowers-Chinese IAT","rmts first",-0.466,-0.282,43.8,"fail",3.67,668,92.5,FALSE,568,98.67,FALSE
256123597,30,"female",FALSE,"Insects-Chinese IAT","rmts first",-0.26,0.211,56.2,"fail",4,666,95,FALSE,581,97.33,FALSE
257017186,21,"male ",FALSE,"Flowers-Chinese IAT","rmts first",-0.807,-0.224,12.5,"fail",4.5,677,95,FALSE,549,94.67,FALSE
260616773,51,"female",FALSE,"Insects-Chinese IAT","rmts first",0.357,-0.109,56.2,"fail",3.83,819,95,FALSE,651,98.67,FALSE
263374453,31,"male",FALSE,"Insects-Chinese IAT","rmts first",0.009,-0.246,50,"fail",5.33,690,93.33,FALSE,558,88.67,FALSE
265367309,29,"male",FALSE,"Insects-Chinese IAT","rmts first",-0.414,0.27,43.8,"fail",4.5,783,96.67,FALSE,677,93.33,FALSE
268205895,39,"male",FALSE,"Insects-Chinese IAT","evaluation tasks first",-0.996,-0.606,43.8,"fail",3.33,732,89.17,FALSE,614,94,FALSE
270262339,48,"male",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.915,0.216,56.2,"fail",4.67,575,98.33,FALSE,516,100,FALSE
284566866,19,"male",FALSE,"Flowers-Chinese IAT","rmts first",-0.027,-0.278,56.2,"fail",3.67,707,95.83,FALSE,575,98,FALSE
285512685,43,"female",FALSE,"Insects-Chinese IAT","rmts first",0.413,0.443,50,"fail",2.17,676,95.83,FALSE,570,95.33,FALSE
288187258,23,"male",FALSE,"Flowers-Chinese IAT","rmts first",-0.853,-0.474,87.5,"pass",3.83,800,84.17,FALSE,612,89.33,FALSE
288591512,30,"male",FALSE,"Insects-Chinese IAT","evaluation tasks first",0.063,0.088,81.2,"fail",4.83,958,95.83,FALSE,696,99.33,FALSE
290514193,25,"female",FALSE,"Flowers-Chinese IAT","rmts first",-0.457,-0.415,68.8,"fail",4.33,615,96.67,FALSE,565,86,FALSE
293041979,39,"male",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.491,0.527,62.5,"fail",4,797,94.17,FALSE,700,94,FALSE
293206528,31,"male",FALSE,"Insects-Chinese IAT","evaluation tasks first",0.004,0.251,50,"fail",4,972,99.17,FALSE,737,93.33,FALSE
295535480,63,"female",TRUE,"Insects-Chinese IAT","evaluation tasks first",-0.788,0.392,62.5,"fail",4,916,96.67,FALSE,326,61.74,TRUE
302261407,36,"male",FALSE,"Insects-Chinese IAT","evaluation tasks first",-0.114,-0.329,56.2,"fail",4.33,850,99.17,FALSE,665,98.67,FALSE
305063059,25,"male",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.024,0.034,56.2,"fail",6,772,97.5,FALSE,555,100,FALSE
307982340,36,"male",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.458,-0.345,31.2,"fail",2.83,893,96.67,FALSE,770,96,FALSE
309180579,23,"female",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.631,-0.473,43.8,"fail",4.83,767,86.67,FALSE,681,84.67,FALSE
311429558,44,"44",FALSE,"Insects-Chinese IAT","rmts first",0.352,0.271,93.8,"pass",5.67,752,93.33,FALSE,600,88.67,FALSE
311564819,34,"male",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.734,-0.236,43.8,"fail",5,914,95.83,FALSE,680,95.33,FALSE
319438603,30,"male",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.783,-0.299,37.5,"fail",3,858,96.67,FALSE,651,96.67,FALSE
323563750,33,"male",FALSE,"Insects-Chinese IAT","rmts first",-0.021,0.504,56.2,"fail",3.17,662,98.33,FALSE,552,99.33,FALSE
325123416,24,"male",FALSE,"Insects-Chinese IAT","evaluation tasks first",-0.811,-0.533,87.5,"pass",3.83,641,85,FALSE,546,86,FALSE
326503556,37,"male",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.492,-0.541,56.2,"fail",3.5,783,95,FALSE,797,94,FALSE
326682899,50,"male",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.066,-0.531,50,"fail",3.67,715,98.33,FALSE,642,96.67,FALSE
326986137,22,"male ",FALSE,"Flowers-Chinese IAT","rmts first",-0.389,0.096,50,"fail",4,685,87.5,FALSE,619,86,FALSE
342463773,33,"female",FALSE,"Insects-Chinese IAT","rmts first",-0.478,0.043,31.2,"fail",4,688,94.17,FALSE,568,96,FALSE
343989429,51,"male",FALSE,"Insects-Chinese IAT","rmts first",0.018,-0.171,75,"fail",3.83,831,97.5,FALSE,702,100,FALSE
346250836,49,"female",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.567,-0.118,50,"fail",6,902,96.67,FALSE,671,99.33,FALSE
347074539,30,"female",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.001,0.137,50,"fail",4.33,657,86.67,FALSE,576,90.67,FALSE
348714195,45,"female",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.921,-0.163,56.2,"fail",4.67,733,98.33,FALSE,533,99.33,FALSE
356154222,25,"male",FALSE,"Insects-Chinese IAT","rmts first",0.335,-0.47,37.5,"fail",5,911,84.75,FALSE,753,86.67,FALSE
371240082,18,"male",FALSE,"Flowers-Chinese IAT","rmts first",-0.464,0.134,50,"fail",5.17,1034,92.5,FALSE,764,94,FALSE
375743512,24,"male",FALSE,"Insects-Chinese IAT","evaluation tasks first",-0.11,0.257,43.8,"fail",4.83,730,76.67,FALSE,598,70.67,FALSE
