"participant","age","gender","exclude","IAT_condition","task_order","IAT_D1","SCIAT_D1","rmts_perc_acc","rmts_mastery","mean_rating","IAT_mean_RT","IAT_perc_acc","IAT_exclude_based_on_fast_trials","SCIAT_mean_RT","SCIAT_perc_acc","SCIAT_exclude_based_on_fast_trials"
589750132,48,"male",FALSE,"Flowers-Chinese IAT","evaluation tasks first",0.37,-0.113,62.5,"fail",4,825,91.67,FALSE,614,98,FALSE
590321421,50,"male",FALSE,"Insects-Chinese IAT","rmts first",-0.117,0.324,68.8,"fail",4.83,879,95,FALSE,781,96,FALSE
590338572,33,"female",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.196,-0.104,25,"fail",4,912,99.17,FALSE,719,99.33,FALSE
590930150,25,"male",FALSE,"Insects-Chinese IAT","rmts first",-0.043,0.123,56.2,"fail",5,553,93.33,FALSE,594,97.33,FALSE
593344854,23,"male",FALSE,"Insects-Chinese IAT","rmts first",-0.056,0.098,37.5,"fail",4.5,590,84.17,FALSE,547,92,FALSE
595534358,50,"female",FALSE,"Insects-Chinese IAT","rmts first",0.777,0,50,"fail",5.5,755,100,FALSE,619,98,FALSE
604371446,27,"genderfluid",FALSE,"Insects-Chinese IAT","rmts first",0.13,0.108,68.8,"fail",4,777,99.17,FALSE,642,96,FALSE
609462283,30,"female",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.779,0.296,56.2,"fail",3.33,877,94.17,FALSE,708,97.33,FALSE
610474241,22,"female",FALSE,"Flowers-Chinese IAT","rmts first",-0.062,-0.218,75,"fail",4,850,93.33,FALSE,876,86,FALSE
613029052,29,"male",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.691,-0.037,56.2,"fail",5.33,1088,97.44,FALSE,982,97.32,FALSE
617264163,25,"male",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.992,0.022,68.8,"fail",4.67,681,92.5,FALSE,599,94,FALSE
621555173,54,"female",FALSE,"Insects-Chinese IAT","rmts first",-0.501,0.061,56.2,"fail",4,710,98.33,FALSE,649,99.33,FALSE
627215132,42,"male",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.211,-0.011,6.2,"fail",5,918,92.5,FALSE,811,94.67,FALSE
627691626,28,"male",FALSE,"Flowers-Chinese IAT","rmts first",0.118,0.218,50,"fail",5.67,650,93.33,FALSE,600,92.67,FALSE
629263781,34,"male",FALSE,"Insects-Chinese IAT","rmts first",0.647,0.134,62.5,"fail",4.83,523,88.33,FALSE,432,97.33,FALSE
634653356,48,"female",FALSE,"Flowers-Chinese IAT","evaluation tasks first",-0.66,-0.034,68.8,"fail",3.83,751,95,FALSE,640,94.67,FALSE
