participant,age,gender,exclude,IAT_condition,attribute_condition,IAT_D1,SCIAT_D1,mean_rating,IAT_mean_RT,IAT_perc_acc,IAT_exclude_based_on_fast_trials,SCIAT_mean_RT,SCIAT_perc_acc,SCIAT_exclude_based_on_fast_trials
55957218,45,male,FALSE,Flowers-Chinese IAT,opposite valenced attributes,0.364,-0.128,4,706,90,FALSE,593,93.33,FALSE
62403477,22,male,FALSE,Insects-Chinese IAT,opposite valenced attributes,-0.612,0.485,4,582,95,FALSE,531,94,FALSE
63651458,20,female,FALSE,Flowers-Chinese IAT,opposite valenced attributes,-0.715,-0.044,4,763,98.33,FALSE,608,97.33,FALSE
66044739,26,female,FALSE,Flowers-Chinese IAT,nonword attributes,0.556,0.266,4.67,751,100,FALSE,719,99.33,FALSE
71148682,64,male,FALSE,Flowers-Chinese IAT,opposite valenced attributes,0.285,-0.164,4,698,99.17,FALSE,601,98.67,FALSE
72930983,26,male,FALSE,Insects-Chinese IAT,nonword attributes,-0.088,-0.151,4,714,96.67,FALSE,715,94,FALSE
73354725,39,male,FALSE,Insects-Chinese IAT,opposite valenced attributes,-0.107,0.286,3,756,95.83,FALSE,722,92.67,FALSE
73915321,40,female,FALSE,Flowers-Chinese IAT,opposite valenced attributes,-0.408,-0.406,3,802,97.5,FALSE,706,96.67,FALSE
73997128,56,female,FALSE,Insects-Chinese IAT,nonword attributes,0.244,0.07,3.5,840,91.67,FALSE,898,94.67,FALSE
74874835,48,male,FALSE,Flowers-Chinese IAT,nonword attributes,-0.132,0.334,4.17,777,74.17,FALSE,526,96,FALSE
76846399,33,female,FALSE,Insects-Chinese IAT,nonword attributes,0.32,0.04,3.17,1052,87.5,FALSE,743,90,FALSE
77340547,26,female,FALSE,Flowers-Chinese IAT,nonword attributes,0.673,0.169,5,683,95.83,FALSE,562,97.33,FALSE
77386013,34,female,FALSE,Insects-Chinese IAT,opposite valenced attributes,-0.268,-0.073,4,888,96.67,FALSE,737,97.33,FALSE
82624194,51,female,FALSE,Flowers-Chinese IAT,opposite valenced attributes,-1.291,-0.269,4.83,900,95,FALSE,685,95.33,FALSE
84847663,28,female,FALSE,Insects-Chinese IAT,nonword attributes,0.001,-0.053,4,690,96.67,FALSE,527,96,FALSE
88463162,46,female,FALSE,Flowers-Chinese IAT,opposite valenced attributes,-0.671,-0.129,6.67,667,92.5,FALSE,510,96,FALSE
91153356,25,female,FALSE,Flowers-Chinese IAT,nonword attributes,-0.441,0.163,4,950,90.83,FALSE,692,92,FALSE
91839261,23,female,FALSE,Insects-Chinese IAT,opposite valenced attributes,-0.066,-0.004,4,716,93.33,FALSE,581,96.67,FALSE
95370674,59,female,FALSE,Flowers-Chinese IAT,opposite valenced attributes,-0.757,0.008,4.5,575,99.17,FALSE,592,96.67,FALSE
95848574,40,male,FALSE,Insects-Chinese IAT,opposite valenced attributes,-0.037,0.436,4.67,655,85.83,FALSE,677,88,FALSE
97613525,43,male,FALSE,Insects-Chinese IAT,opposite valenced attributes,0.296,0.139,5.5,857,96.67,FALSE,672,100,FALSE
100224098,51,female,FALSE,Flowers-Chinese IAT,opposite valenced attributes,-1.246,-0.252,4.17,751,95,FALSE,609,98,FALSE
100376433,25,male,FALSE,Flowers-Chinese IAT,opposite valenced attributes,-0.335,-0.178,4.33,755,81.67,FALSE,603,82.55,FALSE
100477409,52,male,FALSE,Flowers-Chinese IAT,opposite valenced attributes,-0.686,-0.363,4,1019,98.33,FALSE,778,98.67,FALSE
100479579,31,female,FALSE,Flowers-Chinese IAT,nonword attributes,0.066,-0.27,4,1069,80,FALSE,796,97.33,FALSE
100553652,41,male,FALSE,Flowers-Chinese IAT,nonword attributes,-0.4,-0.273,4.83,716,93.33,FALSE,570,95.33,FALSE
100681699,31,female,FALSE,Flowers-Chinese IAT,nonword attributes,0.45,-0.071,3.33,560,96.67,FALSE,509,96.67,FALSE
102208716,33,female,FALSE,Flowers-Chinese IAT,nonword attributes,0.425,0.203,4,556,99.17,FALSE,534,96,FALSE
102966737,27,male,FALSE,Flowers-Chinese IAT,opposite valenced attributes,-0.352,-0.33,4.33,631,83.33,FALSE,549,84.67,FALSE
103258023,54,female,FALSE,Insects-Chinese IAT,nonword attributes,-0.277,-0.027,4,800,92.5,FALSE,587,96.67,FALSE
103555548,43,female,FALSE,Flowers-Chinese IAT,nonword attributes,-0.102,-0.081,5,633,96.67,FALSE,584,97.33,FALSE
107699894,45,male,FALSE,Insects-Chinese IAT,opposite valenced attributes,-0.246,-0.241,4,635,99.17,FALSE,603,99.33,FALSE
107880659,37,female,FALSE,Flowers-Chinese IAT,nonword attributes,0.494,-0.226,2.83,710,91.67,FALSE,663,94.67,FALSE
114584417,57,female,FALSE,Flowers-Chinese IAT,opposite valenced attributes,-1.065,0.314,5.5,1182,92.5,FALSE,1021,94,FALSE
118230901,42,female,FALSE,Insects-Chinese IAT,opposite valenced attributes,0.229,0.371,6,774,99.17,FALSE,640,96.67,FALSE
120031711,21,female,FALSE,Insects-Chinese IAT,nonword attributes,-0.028,-0.027,4.33,670,60,FALSE,597,86,FALSE
121188055,30,female,FALSE,Insects-Chinese IAT,nonword attributes,-0.351,0.311,4.83,822,83.33,FALSE,681,83.33,FALSE
123316280,36,male,FALSE,Insects-Chinese IAT,nonword attributes,-0.185,0.044,4.5,677,95.83,FALSE,478,97.33,FALSE
125334220,46,female,FALSE,Flowers-Chinese IAT,nonword attributes,-0.883,-0.215,4.5,681,90.83,FALSE,533,95.33,FALSE
125584336,25,male,FALSE,Insects-Chinese IAT,nonword attributes,-0.555,0.113,4.83,1007,95,FALSE,645,96.67,FALSE
128075070,24,male,FALSE,Insects-Chinese IAT,opposite valenced attributes,-0.607,-0.488,3.17,780,73.33,FALSE,618,74,FALSE
128132758,34,male,FALSE,Insects-Chinese IAT,opposite valenced attributes,0.079,-0.114,5.5,961,96.67,FALSE,781,99.33,FALSE
128152476,21,male,FALSE,Flowers-Chinese IAT,nonword attributes,0.27,-0.406,3.83,686,86.67,FALSE,617,87.33,FALSE
128311475,48,female,FALSE,Flowers-Chinese IAT,nonword attributes,0.246,0.054,4,952,97.5,FALSE,763,93.33,FALSE
132991424,27,female,FALSE,Insects-Chinese IAT,nonword attributes,-0.197,0.208,4,616,82.5,FALSE,588,86.67,FALSE
141607039,62,female,FALSE,Insects-Chinese IAT,nonword attributes,0.063,-0.015,4,1067,97.5,FALSE,706,100,FALSE
142678305,54,male,FALSE,Flowers-Chinese IAT,opposite valenced attributes,-0.612,-0.052,4,774,94.17,FALSE,626,94.67,FALSE
142681042,29,female,FALSE,Flowers-Chinese IAT,opposite valenced attributes,-0.424,0.198,4.17,924,90.83,FALSE,836,97.32,FALSE
143343957,22,male,FALSE,Insects-Chinese IAT,opposite valenced attributes,-0.211,-0.464,3,752,97.5,FALSE,565,96,FALSE
144638620,21,male,FALSE,Flowers-Chinese IAT,nonword attributes,0.382,-0.285,3.83,666,84.17,FALSE,577,90,FALSE
144727597,36,male,FALSE,Insects-Chinese IAT,opposite valenced attributes,0.635,-0.037,6.33,643,97.5,FALSE,566,97.33,FALSE
145734802,34,female,FALSE,Flowers-Chinese IAT,opposite valenced attributes,-0.028,-0.17,3.67,916,79.83,FALSE,772,89.73,FALSE
148635798,33,male,FALSE,Insects-Chinese IAT,opposite valenced attributes,-0.192,0.102,5.83,700,98.33,FALSE,574,98,FALSE
148672773,18,female,FALSE,Insects-Chinese IAT,opposite valenced attributes,0.339,0.365,4,689,90,FALSE,641,87.33,FALSE
152757934,33,male,FALSE,Insects-Chinese IAT,opposite valenced attributes,-0.764,-0.356,5,657,83.33,FALSE,633,88,FALSE
153548131,26,male,FALSE,Flowers-Chinese IAT,nonword attributes,-0.145,-0.126,6.33,738,73.33,FALSE,643,91.33,FALSE
153928495,18,male,FALSE,Insects-Chinese IAT,nonword attributes,0.049,0.168,4,649,85.83,FALSE,635,91.33,FALSE
154492649,34,male,FALSE,Flowers-Chinese IAT,opposite valenced attributes,-0.982,0.121,3.5,707,88.33,FALSE,553,94,FALSE
158552727,40,male,FALSE,Insects-Chinese IAT,nonword attributes,-0.333,0.083,1,1069,99.17,FALSE,944,98,FALSE
159654503,28,male,FALSE,Insects-Chinese IAT,nonword attributes,-0.486,0.114,4.33,718,95.83,FALSE,655,98.67,FALSE
160233148,27,male,FALSE,Flowers-Chinese IAT,nonword attributes,0.583,-0.394,4.5,721,91.67,FALSE,713,89.26,FALSE
162858532,34,male,FALSE,Flowers-Chinese IAT,nonword attributes,1.069,-0.263,4,684,90,FALSE,570,91.33,FALSE
167901609,39,female,FALSE,Flowers-Chinese IAT,opposite valenced attributes,-0.912,0.403,4.33,668,96.67,FALSE,611,98,FALSE
170791088,32,female,FALSE,Insects-Chinese IAT,nonword attributes,0.21,0.1,5.5,820,93.33,FALSE,689,94,FALSE
173107003,24,male,FALSE,Flowers-Chinese IAT,nonword attributes,0.302,-0.495,4,864,66.67,FALSE,789,98,FALSE
173568471,30,male,FALSE,Insects-Chinese IAT,nonword attributes,0.395,-0.287,4,1127,90,FALSE,572,96.67,FALSE
173911997,37,female,FALSE,Insects-Chinese IAT,opposite valenced attributes,1.001,0.509,4.17,896,95.83,FALSE,1003,95.33,FALSE
175491312,37,male,FALSE,Insects-Chinese IAT,nonword attributes,-0.534,0.006,4.83,936,83.33,FALSE,691,90,FALSE
175974860,63,female,FALSE,Flowers-Chinese IAT,nonword attributes,0.15,-0.366,4.67,684,98.33,FALSE,594,99.33,FALSE
181963198,26,male,FALSE,Insects-Chinese IAT,opposite valenced attributes,0.652,0.268,6.67,800,91.67,FALSE,672,76,FALSE
182439691,41,female,FALSE,Flowers-Chinese IAT,nonword attributes,0.228,0.124,3.5,678,97.5,FALSE,573,99.33,FALSE
184419708,53,male,FALSE,Flowers-Chinese IAT,nonword attributes,0.245,-0.34,3.5,608,89.17,FALSE,571,90.67,FALSE
190376757,24,male,FALSE,Insects-Chinese IAT,opposite valenced attributes,-0.183,-0.362,3.83,590,85,FALSE,561,76,FALSE
190966638,21,male,FALSE,Insects-Chinese IAT,opposite valenced attributes,-1.026,-0.308,4.67,854,95.83,FALSE,691,91.33,FALSE
191350012,35,male,FALSE,Flowers-Chinese IAT,nonword attributes,0.467,-0.366,4,601,95,FALSE,590,94,FALSE
194592149,36,male,FALSE,Insects-Chinese IAT,opposite valenced attributes,0.862,0.142,4.83,941,92.5,FALSE,749,96.67,FALSE
202830888,33,male,FALSE,Insects-Chinese IAT,nonword attributes,0.025,-0.016,4.33,664,95,FALSE,571,94.67,FALSE
208035800,28,male,FALSE,Insects-Chinese IAT,nonword attributes,-0.081,0.046,5.67,735,64.17,FALSE,574,87.33,FALSE
211103851,23,female,FALSE,Flowers-Chinese IAT,nonword attributes,0.003,-0.036,2.33,742,67.5,FALSE,688,95.33,FALSE
218054132,51,female,FALSE,Flowers-Chinese IAT,nonword attributes,0.131,-0.295,5,1301,68.33,FALSE,1004,96,FALSE
218137484,52,female,FALSE,Flowers-Chinese IAT,nonword attributes,-0.269,-0.388,4.67,880,70,FALSE,681,95.33,FALSE
220007690,48,female,FALSE,Flowers-Chinese IAT,opposite valenced attributes,-0.842,0.163,4,826,92.5,FALSE,652,94.67,FALSE
220918657,4,female,FALSE,Flowers-Chinese IAT,opposite valenced attributes,-0.392,-0.209,4.83,770,92.5,FALSE,812,98,FALSE
221448543,48,female,FALSE,Insects-Chinese IAT,nonword attributes,0.21,-0.071,5.67,729,95,FALSE,568,97.33,FALSE
225573552,22,female,FALSE,Insects-Chinese IAT,nonword attributes,-0.908,0.121,6,977,90,FALSE,680,94,FALSE
229947944,36,male,FALSE,Insects-Chinese IAT,nonword attributes,0.213,0.109,5.67,835,65,FALSE,605,85.33,FALSE
231017482,35,male,FALSE,Flowers-Chinese IAT,opposite valenced attributes,-0.334,-0.318,4.17,986,98.33,FALSE,783,98,FALSE
232045659,39,female,FALSE,Flowers-Chinese IAT,nonword attributes,-0.364,-0.313,5.83,709,98.33,FALSE,657,98.67,FALSE
235429905,31,female,FALSE,Flowers-Chinese IAT,opposite valenced attributes,-0.141,-0.079,3.5,806,86.67,FALSE,674,94,FALSE
236045252,27,female,FALSE,Flowers-Chinese IAT,nonword attributes,0.059,0.134,4,858,95.83,FALSE,759,94.67,FALSE
238932124,40,male,FALSE,Flowers-Chinese IAT,nonword attributes,0.365,0.46,5,1027,73.33,FALSE,773,98,FALSE
239983305,33,male,FALSE,Flowers-Chinese IAT,opposite valenced attributes,-0.939,0.334,4,716,93.28,FALSE,635,94,FALSE
240842730,36,male,FALSE,Flowers-Chinese IAT,opposite valenced attributes,-0.995,-0.219,4.33,842,99.17,FALSE,670,98,FALSE
242926076,20,male,FALSE,Flowers-Chinese IAT,nonword attributes,-0.304,0.072,4,910,70.83,FALSE,723,95.33,FALSE
246877642,37,female,FALSE,Flowers-Chinese IAT,opposite valenced attributes,-0.407,-0.069,4,708,83.33,FALSE,536,88,FALSE
247967877,23,male,FALSE,Insects-Chinese IAT,opposite valenced attributes,-0.415,0.199,4.33,1015,94.17,FALSE,889,94.67,FALSE
249459928,46,female,FALSE,Insects-Chinese IAT,nonword attributes,-0.022,0.208,5.33,1138,74.17,FALSE,869,98,FALSE
250594835,32,female,FALSE,Flowers-Chinese IAT,nonword attributes,0.879,0.477,5.83,774,98.33,FALSE,722,93.33,FALSE
251185389,51,female,FALSE,Insects-Chinese IAT,opposite valenced attributes,0.83,0.286,4.5,706,95,FALSE,700,95.33,FALSE
255572392,29,female,FALSE,Insects-Chinese IAT,nonword attributes,0.688,0.048,7,1026,95.83,FALSE,736,97.33,FALSE
256772361,31,male,FALSE,Flowers-Chinese IAT,opposite valenced attributes,-0.49,0.067,4.17,623,95,FALSE,592,90.67,FALSE
257854159,45,female,FALSE,Insects-Chinese IAT,nonword attributes,0.39,-0.229,2.67,912,64.17,FALSE,747,99.33,FALSE
258239520,27,male,FALSE,Insects-Chinese IAT,nonword attributes,-0.031,-0.427,3.5,569,88.33,FALSE,526,86.67,FALSE
258300295,35,male,FALSE,Insects-Chinese IAT,nonword attributes,-0.67,-0.416,4.83,816,74.17,FALSE,712,93.33,FALSE
258361238,36,36,FALSE,Insects-Chinese IAT,opposite valenced attributes,0.458,-0.136,5.17,1352,96.43,FALSE,1322,93.24,FALSE
269595544,22,male,FALSE,Insects-Chinese IAT,nonword attributes,-0.183,-0.016,4.67,691,48.33,FALSE,692,89.33,FALSE
279268264,20,male,FALSE,Insects-Chinese IAT,nonword attributes,-0.717,-0.264,4.67,694,93.33,FALSE,625,93.33,FALSE
281914232,21,male,FALSE,Insects-Chinese IAT,nonword attributes,-0.088,-0.03,5,634,93.33,FALSE,600,96,FALSE
282762406,55,male,FALSE,Insects-Chinese IAT,opposite valenced attributes,-0.298,-0.024,2.33,1076,98.33,FALSE,1030,98.67,FALSE
283814214,24,male,FALSE,Insects-Chinese IAT,opposite valenced attributes,-0.573,0.751,4.5,766,95.83,FALSE,644,97.33,FALSE
284882499,46,female,FALSE,Flowers-Chinese IAT,nonword attributes,0.488,-0.287,5.33,793,94.17,FALSE,866,92.67,FALSE
287161591,44,female,FALSE,Insects-Chinese IAT,nonword attributes,-0.285,0.202,7,865,85,FALSE,744,93.33,FALSE
288524870,59,female,FALSE,Insects-Chinese IAT,opposite valenced attributes,1.26,0.185,4,994,97.5,FALSE,711,100,FALSE
294068722,21,male,FALSE,Flowers-Chinese IAT,opposite valenced attributes,-0.087,-0.436,1.67,1040,99.17,FALSE,814,91.33,FALSE
296156654,29,male,FALSE,Insects-Chinese IAT,opposite valenced attributes,-0.244,0.011,5.83,678,89.17,FALSE,704,88.67,FALSE
296526837,26,female,FALSE,Insects-Chinese IAT,opposite valenced attributes,0.061,0.277,6,589,86.67,FALSE,545,85.33,FALSE
296840938,28,female,FALSE,Flowers-Chinese IAT,opposite valenced attributes,-0.645,-0.09,4.5,726,99.17,FALSE,682,98,FALSE
297576014,49,male,FALSE,Insects-Chinese IAT,opposite valenced attributes,0.438,0.077,4.33,832,99.17,FALSE,768,98.67,FALSE
303336140,37,male,FALSE,Flowers-Chinese IAT,nonword attributes,0.548,-0.213,4.17,644,99.17,FALSE,570,99.33,FALSE
303458883,42,male,FALSE,Flowers-Chinese IAT,nonword attributes,0.564,-0.023,5,589,96.67,FALSE,559,95.33,FALSE
304724198,42,female,FALSE,Insects-Chinese IAT,opposite valenced attributes,-0.495,-0.291,4,815,95.83,FALSE,693,96.67,FALSE
308282805,21,female,FALSE,Insects-Chinese IAT,opposite valenced attributes,-0.579,0.132,4.33,789,95,FALSE,692,94,FALSE
311378690,49,female,FALSE,Flowers-Chinese IAT,opposite valenced attributes,-0.622,-0.016,4,980,97.5,FALSE,778,98,FALSE
314274383,31,female,FALSE,Insects-Chinese IAT,nonword attributes,1.017,-0.123,4,1015,62.5,FALSE,700,98.67,FALSE
315385391,40,male,FALSE,Insects-Chinese IAT,nonword attributes,0.07,0.462,4,1090,66.39,FALSE,1051,90,FALSE
320860067,58,female,FALSE,Flowers-Chinese IAT,nonword attributes,0.152,-0.471,4,1040,66.67,FALSE,627,94.67,FALSE
327114823,54,female,FALSE,Insects-Chinese IAT,nonword attributes,0.624,-0.322,4.17,1023,97.5,FALSE,644,98,FALSE
327999469,49,male,FALSE,Insects-Chinese IAT,opposite valenced attributes,-0.016,-0.153,4,707,100,FALSE,618,99.33,FALSE
336376327,23,male,FALSE,Insects-Chinese IAT,nonword attributes,-0.634,0.139,4.33,572,95,FALSE,506,92,FALSE
337761830,34,male,FALSE,Insects-Chinese IAT,opposite valenced attributes,0.796,0.264,4.83,700,96.67,FALSE,603,99.33,FALSE
342141360,18,female,FALSE,Insects-Chinese IAT,nonword attributes,0.261,-0.021,4,759,100,FALSE,701,96.67,FALSE
343477966,35,female,FALSE,Insects-Chinese IAT,opposite valenced attributes,0.914,0.122,6,696,100,FALSE,622,99.33,FALSE
344090515,28,female,FALSE,Flowers-Chinese IAT,nonword attributes,0.756,-0.281,4.17,902,99.17,FALSE,708,96.67,FALSE
344118518,25,male,FALSE,Insects-Chinese IAT,opposite valenced attributes,-0.141,0.376,4,874,96.67,FALSE,731,96,FALSE
346373068,45,female,FALSE,Flowers-Chinese IAT,nonword attributes,-0.732,-0.523,4.5,886,97.5,FALSE,651,99.33,FALSE
349513138,48,male,FALSE,Flowers-Chinese IAT,opposite valenced attributes,-1.101,-0.653,5.17,784,95,FALSE,717,94.63,FALSE
351519598,27,male,FALSE,Insects-Chinese IAT,opposite valenced attributes,-0.202,0.371,5.33,782,89.17,FALSE,916,78.67,FALSE
354780889,47,male,FALSE,Flowers-Chinese IAT,opposite valenced attributes,-0.1,0.273,4.17,751,95,FALSE,612,97.33,FALSE
355711146,38,male,FALSE,Flowers-Chinese IAT,opposite valenced attributes,-0.07,0.203,4.17,691,89.17,FALSE,844,90,FALSE
356423676,37,female,FALSE,Flowers-Chinese IAT,nonword attributes,-0.011,-0.122,4.67,839,96.67,FALSE,689,98,FALSE
357187354,25,female,FALSE,Flowers-Chinese IAT,opposite valenced attributes,-0.831,-0.245,3,1139,94.17,FALSE,845,91.33,FALSE
357814164,33,female,FALSE,Flowers-Chinese IAT,nonword attributes,0.665,0.085,5.33,838,65.83,FALSE,884,85.23,FALSE
360739434,23,female,FALSE,Flowers-Chinese IAT,opposite valenced attributes,0.509,0.117,6,576,83.33,FALSE,535,80.67,FALSE
360821019,30,male,FALSE,Flowers-Chinese IAT,nonword attributes,-0.186,0.412,4,658,97.5,FALSE,545,98.67,FALSE
360952971,23,male,FALSE,Flowers-Chinese IAT,nonword attributes,0.015,0.441,4.67,655,85,FALSE,573,93.33,FALSE
361741288,53,female,FALSE,Insects-Chinese IAT,nonword attributes,-0.851,-0.117,3.67,674,87.5,FALSE,531,88.67,FALSE
365913408,19,male,FALSE,Insects-Chinese IAT,nonword attributes,-0.047,-0.257,3.5,844,95.83,FALSE,580,96.67,FALSE
373876443,28,female,FALSE,Flowers-Chinese IAT,nonword attributes,0.451,0.075,2,913,70.34,FALSE,1143,87.92,FALSE
375336464,49,female,FALSE,Insects-Chinese IAT,nonword attributes,-0.798,-0.391,5.5,967,79.17,FALSE,787,93.33,FALSE
376700071,26,female,FALSE,Insects-Chinese IAT,nonword attributes,0.113,-0.14,4,687,87.5,FALSE,833,85.14,FALSE
376839115,26,female,FALSE,Flowers-Chinese IAT,nonword attributes,0.1,0.42,4,670,79.17,FALSE,548,86.67,FALSE
377109103,44,female,FALSE,Insects-Chinese IAT,nonword attributes,0.111,-0.028,4,911,96.67,FALSE,695,98.67,FALSE
380779753,24,female,FALSE,Flowers-Chinese IAT,opposite valenced attributes,-0.548,-0.062,4,865,95,FALSE,887,92.57,FALSE
382048904,40,male,FALSE,Insects-Chinese IAT,nonword attributes,-0.172,-0.497,4.5,836,98.33,FALSE,654,100,FALSE
383144902,36,male,FALSE,Insects-Chinese IAT,opposite valenced attributes,-0.088,-0.408,3.83,523,93.33,FALSE,516,92,FALSE
384439595,29,male,FALSE,Flowers-Chinese IAT,nonword attributes,0.649,-0.261,4,725,93.33,FALSE,686,94.67,FALSE
384713419,45,female,FALSE,Flowers-Chinese IAT,nonword attributes,0.142,-0.188,4,984,97.5,FALSE,675,97.33,FALSE
389172171,33,female,FALSE,Flowers-Chinese IAT,nonword attributes,-0.085,-0.031,4,714,60,FALSE,569,76,FALSE
390487714,24,male,FALSE,Flowers-Chinese IAT,opposite valenced attributes,-0.732,0.018,4.17,1036,90.83,FALSE,675,86.67,FALSE
393588750,38,male,FALSE,Insects-Chinese IAT,opposite valenced attributes,-0.202,0.124,5.17,742,90.83,FALSE,669,96.67,FALSE
396800424,37,female,FALSE,Insects-Chinese IAT,nonword attributes,0.648,-0.337,4.17,1289,79.17,FALSE,615,98.67,FALSE
405744876,47,female,FALSE,Flowers-Chinese IAT,nonword attributes,-0.364,-0.699,4.33,638,98.33,FALSE,645,97.33,FALSE
406246301,25,female,FALSE,Insects-Chinese IAT,opposite valenced attributes,-0.03,-0.121,3.33,691,93.33,FALSE,669,97.33,FALSE
407590688,36,male,FALSE,Insects-Chinese IAT,nonword attributes,0.205,0.143,4.67,834,95.83,FALSE,772,96,FALSE
413837242,60,female,FALSE,Flowers-Chinese IAT,opposite valenced attributes,-0.988,0.282,6.33,830,99.17,FALSE,765,98,FALSE
414094878,21,male,FALSE,Insects-Chinese IAT,opposite valenced attributes,0.426,0.024,3,847,91.67,FALSE,618,96.67,FALSE
417841252,37,male,FALSE,Flowers-Chinese IAT,nonword attributes,0.057,0.435,4.5,696,100,FALSE,677,96,FALSE
425223562,29,male,FALSE,Flowers-Chinese IAT,opposite valenced attributes,-0.832,-0.112,4.5,850,90,FALSE,604,94.67,FALSE
428912064,36,female,FALSE,Insects-Chinese IAT,nonword attributes,-0.316,-0.171,4,954,84.17,FALSE,740,92.67,FALSE
429063727,56,male,FALSE,Insects-Chinese IAT,nonword attributes,-0.462,0.062,3,971,65.83,FALSE,814,97.33,FALSE
430687410,25,female,FALSE,Flowers-Chinese IAT,opposite valenced attributes,-1.072,0.085,4,668,96.67,FALSE,579,96,FALSE
431042415,59,male,FALSE,Insects-Chinese IAT,nonword attributes,0.208,-0.291,5,749,97.5,FALSE,658,99.33,FALSE
431150727,30,male,FALSE,Insects-Chinese IAT,nonword attributes,0.203,0.186,4.17,698,79.17,FALSE,629,77.33,FALSE
434144185,59,female,FALSE,Flowers-Chinese IAT,opposite valenced attributes,-0.895,0.046,6,923,100,FALSE,678,98,FALSE
439252569,38,female,FALSE,Flowers-Chinese IAT,opposite valenced attributes,-1.09,-0.637,6.17,791,90.83,FALSE,628,98,FALSE
439671712,41,male,FALSE,Insects-Chinese IAT,nonword attributes,0.924,0.197,5.17,668,99.17,FALSE,665,99.33,FALSE
