participant,age,gender,exclude,IAT_condition,attribute_condition,IAT_D1,SCIAT_D1,mean_rating,IAT_mean_RT,IAT_perc_acc,IAT_exclude_based_on_fast_trials,SCIAT_mean_RT,SCIAT_perc_acc,SCIAT_exclude_based_on_fast_trials
380644,36,female,FALSE,Flowers-Chinese IAT,nonword attributes,0.543,0.505,2.33,674,94.17,FALSE,574,94.67,FALSE
1882272,43,male,FALSE,Insects-Chinese IAT,nonword attributes,-0.334,0.453,3.83,1471,90.83,FALSE,802,100,FALSE
4303807,45,male,FALSE,Insects-Chinese IAT,nonword attributes,-0.938,0.483,4,843,100,FALSE,809,99.33,FALSE
5034407,58,female,FALSE,Insects-Chinese IAT,nonword attributes,-0.282,-0.139,4.83,900,83.33,FALSE,635,96,FALSE
8322462,25,female,FALSE,Insects-Chinese IAT,opposite valenced attributes,0.13,0.452,4,920,90,FALSE,625,96,FALSE
8547204,35,female,FALSE,Flowers-Chinese IAT,nonword attributes,0.746,-0.293,4.83,755,97.5,FALSE,599,96.67,FALSE
10534696,37,female,FALSE,Insects-Chinese IAT,nonword attributes,0.782,-0.492,4,934,95,FALSE,753,96,FALSE
10899483,28,female,FALSE,Flowers-Chinese IAT,nonword attributes,0.214,-0.442,5.67,773,80,FALSE,744,90.67,FALSE
12710550,62,female,FALSE,Insects-Chinese IAT,opposite valenced attributes,-0.298,0.142,4,797,98.33,FALSE,675,99.33,FALSE
20378713,19,male,FALSE,Flowers-Chinese IAT,opposite valenced attributes,-0.61,-0.056,4,875,92.5,FALSE,703,92,FALSE
21129657,39,male,FALSE,Flowers-Chinese IAT,opposite valenced attributes,-0.414,-0.665,4.67,846,98.33,FALSE,731,96.67,FALSE
21335017,37,male,FALSE,Flowers-Chinese IAT,opposite valenced attributes,-0.269,0.056,4.83,715,95.83,FALSE,659,96,FALSE
22187609,27,male,FALSE,Flowers-Chinese IAT,opposite valenced attributes,-0.939,0.209,3.17,546,89.17,FALSE,506,88,FALSE
22196230,30,female,FALSE,Insects-Chinese IAT,opposite valenced attributes,0.118,0.159,4.67,905,97.5,FALSE,727,92.67,FALSE
24285217,48,male,FALSE,Flowers-Chinese IAT,opposite valenced attributes,-0.233,0.1,4.17,864,96.67,FALSE,761,98.67,FALSE
24687797,28,female,FALSE,Insects-Chinese IAT,opposite valenced attributes,-0.228,-0.094,4.5,570,94.17,FALSE,488,94,FALSE
25067771,29,male,FALSE,Flowers-Chinese IAT,nonword attributes,0.741,0.382,4.17,893,80.83,FALSE,581,94.67,FALSE
26663115,54,female,FALSE,Flowers-Chinese IAT,nonword attributes,-0.178,0.197,4,997,63.33,FALSE,630,99.33,FALSE
26704522,22,male,FALSE,Flowers-Chinese IAT,opposite valenced attributes,-0.827,0.031,4,856,88.33,FALSE,707,91.33,FALSE
30358160,29,female,FALSE,Insects-Chinese IAT,nonword attributes,0.18,-0.223,4.33,1288,75,FALSE,1060,95.33,FALSE
34491820,20,male,FALSE,Flowers-Chinese IAT,nonword attributes,-0.171,-0.318,4,711,79.17,FALSE,642,86,FALSE
45269490,19,female,FALSE,Flowers-Chinese IAT,opposite valenced attributes,-0.545,0.359,4.83,657,89.17,FALSE,531,94,FALSE
48656517,47,female,FALSE,Insects-Chinese IAT,opposite valenced attributes,0.987,0.239,6,758,95.83,FALSE,609,95.33,FALSE
50686562,40,female,FALSE,Flowers-Chinese IAT,opposite valenced attributes,-0.633,-0.024,3.83,837,95,FALSE,744,96,FALSE
50981679,34,male,FALSE,Insects-Chinese IAT,nonword attributes,0.035,-0.347,6.33,727,95,FALSE,649,94,FALSE
53621080,41,female,FALSE,Insects-Chinese IAT,nonword attributes,-0.206,0.094,3.83,809,95.83,FALSE,634,96.67,FALSE
53701849,46,male,FALSE,Flowers-Chinese IAT,opposite valenced attributes,-0.415,0.23,4.83,595,90.83,FALSE,575,95.33,FALSE
55870381,44,male,FALSE,Insects-Chinese IAT,opposite valenced attributes,-0.011,0.17,3.5,959,84.17,FALSE,818,75.33,FALSE
