participant,trial_n,recip_rt_sciat_block_2,accuracy,rt,age,gender,exclude,IAT_condition,attribute_condition,recip_rt_sciat_block_1
380644,60,1.8018018018018018,1,564,36,female,FALSE,Flowers,nonword attributes,1.7730496453900708
380644,61,1.6778523489932886,1,598,36,female,FALSE,Flowers,nonword attributes,1.6722408026755853
380644,62,2.0618556701030926,1,536,36,female,FALSE,Flowers,nonword attributes,1.8656716417910448
380644,63,1.8656716417910448,1,687,36,female,FALSE,Flowers,nonword attributes,1.455604075691412
380644,64,1.663893510815308,1,441,36,female,FALSE,Flowers,nonword attributes,2.2675736961451247
380644,65,2.0533880903490758,1,428,36,female,FALSE,Flowers,nonword attributes,2.336448598130841
380644,66,2.192982456140351,1,643,36,female,FALSE,Flowers,nonword attributes,1.5552099533437014
380644,67,1.6366612111292962,1,539,36,female,FALSE,Flowers,nonword attributes,1.8552875695732838
380644,68,1.890359168241966,1,533,36,female,FALSE,Flowers,nonword attributes,1.876172607879925
380644,69,1.6207455429497568,1,563,36,female,FALSE,Flowers,nonword attributes,1.7761989342806395
380644,70,1.7543859649122806,1,404,36,female,FALSE,Flowers,nonword attributes,2.4752475247524752
1882272,1,0.9950248756218906,1,697,43,male,FALSE,Insects,nonword attributes,1.4347202295552368
1882272,2,1.2330456226880395,1,692,43,male,FALSE,Insects,nonword attributes,1.4450867052023122
1882272,3,1.095290251916758,1,750,43,male,FALSE,Insects,nonword attributes,1.3333333333333333
1882272,4,1.2953367875647668,1,663,43,male,FALSE,Insects,nonword attributes,1.5082956259426847
1882272,5,1.3679890560875514,1,1107,43,male,FALSE,Insects,nonword attributes,0.9033423667570009
1882272,6,1.1299435028248588,1,733,43,male,FALSE,Insects,nonword attributes,1.364256480218281
1882272,7,1.1918951132300357,1,726,43,male,FALSE,Insects,nonword attributes,1.3774104683195592
1882272,8,1.3089005235602094,1,735,43,male,FALSE,Insects,nonword attributes,1.3605442176870748
1882272,9,1.3513513513513513,1,632,43,male,FALSE,Insects,nonword attributes,1.5822784810126582
1882272,10,1.3966480446927374,1,693,43,male,FALSE,Insects,nonword attributes,1.443001443001443
1882272,11,1.3192612137203166,1,912,43,male,FALSE,Insects,nonword attributes,1.0964912280701755
1882272,12,0.9208103130755064,1,706,43,male,FALSE,Insects,nonword attributes,1.4164305949008498
1882272,13,1.287001287001287,1,636,43,male,FALSE,Insects,nonword attributes,1.5723270440251573
1882272,14,0.9615384615384616,1,713,43,male,FALSE,Insects,nonword attributes,1.402524544179523
1882272,15,1.2300123001230012,1,675,43,male,FALSE,Insects,nonword attributes,1.4814814814814814
1882272,16,1.297016861219196,1,654,43,male,FALSE,Insects,nonword attributes,1.529051987767584
1882272,17,1.2594458438287153,1,714,43,male,FALSE,Insects,nonword attributes,1.4005602240896358
1882272,18,1.3003901170351104,1,725,43,male,FALSE,Insects,nonword attributes,1.3793103448275863
1882272,19,1.402524544179523,1,703,43,male,FALSE,Insects,nonword attributes,1.422475106685633
1882272,20,1.2453300124533002,1,696,43,male,FALSE,Insects,nonword attributes,1.4367816091954022
1882272,21,1.2121212121212122,1,627,43,male,FALSE,Insects,nonword attributes,1.594896331738437
1882272,22,0.7923930269413629,1,656,43,male,FALSE,Insects,nonword attributes,1.524390243902439
1882272,23,1.1534025374855825,1,749,43,male,FALSE,Insects,nonword attributes,1.335113484646195
1882272,24,1.1494252873563218,1,757,43,male,FALSE,Insects,nonword attributes,1.321003963011889
1882272,25,1.2360939431396787,1,1085,43,male,FALSE,Insects,nonword attributes,0.9216589861751152
1882272,26,1.1574074074074074,1,808,43,male,FALSE,Insects,nonword attributes,1.2376237623762376
1882272,27,0.9587727708533078,1,878,43,male,FALSE,Insects,nonword attributes,1.1389521640091116
1882272,28,1.1160714285714286,1,721,43,male,FALSE,Insects,nonword attributes,1.3869625520110958
1882272,29,1.1750881316098707,1,715,43,male,FALSE,Insects,nonword attributes,1.3986013986013985
1882272,30,1.1074197120708749,1,1221,43,male,FALSE,Insects,nonword attributes,0.819000819000819
1882272,31,0.983284169124877,1,683,43,male,FALSE,Insects,nonword attributes,1.4641288433382138
1882272,32,0.6349206349206349,1,725,43,male,FALSE,Insects,nonword attributes,1.3793103448275863
1882272,33,1.3054830287206267,1,1023,43,male,FALSE,Insects,nonword attributes,0.9775171065493646
1882272,34,1.1507479861910241,1,716,43,male,FALSE,Insects,nonword attributes,1.3966480446927374
1882272,35,1.0493179433368311,1,661,43,male,FALSE,Insects,nonword attributes,1.51285930408472
1882272,36,1.3717421124828533,1,674,43,male,FALSE,Insects,nonword attributes,1.4836795252225519
1882272,37,1.2453300124533002,1,637,43,male,FALSE,Insects,nonword attributes,1.5698587127158556
1882272,38,1.3736263736263736,1,682,43,male,FALSE,Insects,nonword attributes,1.466275659824047
1882272,39,1.2468827930174564,1,1140,43,male,FALSE,Insects,nonword attributes,0.8771929824561403
1882272,40,1.2626262626262625,1,701,43,male,FALSE,Insects,nonword attributes,1.4265335235378032
1882272,41,1.3315579227696406,1,807,43,male,FALSE,Insects,nonword attributes,1.2391573729863692
1882272,42,1.4727540500736378,1,685,43,male,FALSE,Insects,nonword attributes,1.4598540145985401
1882272,43,1.3850415512465375,1,888,43,male,FALSE,Insects,nonword attributes,1.1261261261261262
1882272,44,1.3368983957219251,1,587,43,male,FALSE,Insects,nonword attributes,1.7035775127768313
1882272,45,1.0729613733905579,1,649,43,male,FALSE,Insects,nonword attributes,1.5408320493066257
1882272,46,1.1507479861910241,1,646,43,male,FALSE,Insects,nonword attributes,1.5479876160990713
1882272,47,1.287001287001287,1,675,43,male,FALSE,Insects,nonword attributes,1.4814814814814814
1882272,48,0.8012820512820513,1,686,43,male,FALSE,Insects,nonword attributes,1.4577259475218658
1882272,49,1.218026796589525,1,681,43,male,FALSE,Insects,nonword attributes,1.4684287812041117
1882272,50,1.1641443538998837,1,644,43,male,FALSE,Insects,nonword attributes,1.5527950310559007
1882272,51,1.2048192771084338,1,785,43,male,FALSE,Insects,nonword attributes,1.2738853503184713
1882272,52,1.3227513227513228,1,728,43,male,FALSE,Insects,nonword attributes,1.3736263736263736
1882272,53,1.0460251046025104,1,736,43,male,FALSE,Insects,nonword attributes,1.358695652173913
1882272,54,1.4619883040935673,1,762,43,male,FALSE,Insects,nonword attributes,1.3123359580052494
1882272,55,1.2642225031605563,1,738,43,male,FALSE,Insects,nonword attributes,1.3550135501355014
1882272,56,1.364256480218281,1,666,43,male,FALSE,Insects,nonword attributes,1.5015015015015014
1882272,57,1.4749262536873156,1,918,43,male,FALSE,Insects,nonword attributes,1.0893246187363834
1882272,58,1.3262599469496021,1,743,43,male,FALSE,Insects,nonword attributes,1.3458950201884252
1882272,59,1.3404825737265416,1,896,43,male,FALSE,Insects,nonword attributes,1.1160714285714286
1882272,60,1.1976047904191616,1,659,43,male,FALSE,Insects,nonword attributes,1.5174506828528074
1882272,61,1.2903225806451613,1,719,43,male,FALSE,Insects,nonword attributes,1.3908205841446453
1882272,62,1.3315579227696406,1,1752,43,male,FALSE,Insects,nonword attributes,0.5707762557077626
1882272,63,1.2642225031605563,1,664,43,male,FALSE,Insects,nonword attributes,1.5060240963855422
1882272,64,1.2300123001230012,1,693,43,male,FALSE,Insects,nonword attributes,1.443001443001443
1882272,65,1.5151515151515151,1,815,43,male,FALSE,Insects,nonword attributes,1.2269938650306749
1882272,66,1.4204545454545454,1,757,43,male,FALSE,Insects,nonword attributes,1.321003963011889
1882272,67,1.3123359580052494,1,621,43,male,FALSE,Insects,nonword attributes,1.6103059581320451
1882272,68,1.4492753623188406,1,876,43,male,FALSE,Insects,nonword attributes,1.1415525114155252
1882272,69,1.2547051442910917,1,686,43,male,FALSE,Insects,nonword attributes,1.4577259475218658
1882272,70,1.2706480304955527,1,585,43,male,FALSE,Insects,nonword attributes,1.7094017094017093
4303807,1,1.0582010582010581,1,960,45,male,FALSE,Insects,nonword attributes,1.0416666666666667
4303807,2,1.6051364365971108,1,670,45,male,FALSE,Insects,nonword attributes,1.492537313432836
4303807,3,1.5527950310559007,1,864,45,male,FALSE,Insects,nonword attributes,1.1574074074074074
4303807,4,1.8975332068311195,1,699,45,male,FALSE,Insects,nonword attributes,1.4306151645207439
4303807,5,0.5186721991701245,1,708,45,male,FALSE,Insects,nonword attributes,1.4124293785310735
4303807,6,1.0626992561105206,1,740,45,male,FALSE,Insects,nonword attributes,1.3513513513513513
4303807,7,1.2195121951219512,1,693,45,male,FALSE,Insects,nonword attributes,1.443001443001443
4303807,8,1.2019230769230769,1,774,45,male,FALSE,Insects,nonword attributes,1.2919896640826873
4303807,9,1.443001443001443,1,747,45,male,FALSE,Insects,nonword attributes,1.3386880856760375
4303807,10,1.0615711252653928,1,811,45,male,FALSE,Insects,nonword attributes,1.2330456226880395
4303807,11,1.4771048744460857,1,927,45,male,FALSE,Insects,nonword attributes,1.0787486515641855
4303807,12,1.2642225031605563,1,671,45,male,FALSE,Insects,nonword attributes,1.4903129657228018
4303807,13,1.2690355329949239,1,641,45,male,FALSE,Insects,nonword attributes,1.5600624024960998
4303807,14,1.3404825737265416,1,813,45,male,FALSE,Insects,nonword attributes,1.2300123001230012
4303807,15,1.5408320493066257,1,970,45,male,FALSE,Insects,nonword attributes,1.0309278350515463
4303807,16,1.5723270440251573,1,703,45,male,FALSE,Insects,nonword attributes,1.422475106685633
4303807,17,1.6233766233766234,1,735,45,male,FALSE,Insects,nonword attributes,1.3605442176870748
4303807,18,1.152073732718894,1,687,45,male,FALSE,Insects,nonword attributes,1.455604075691412
4303807,19,1.2406947890818858,1,864,45,male,FALSE,Insects,nonword attributes,1.1574074074074074
