"date","time","group","subject","build","blocknum","trialnum","blockcode","trialcode","pretrialpause","posttrialpause","windowcenter","trialduration","trialtimeout","blocktimeout","response","correct","latency","inwindow","stimulusnumber1","stimulusitem1","stimulusvpos1","stimulushpos1","stimulusonset1","stimulusnumber2","stimulusitem2","stimulusvpos2","stimulushpos2","stimulusonset2","stimulusnumber3","stimulusitem3","stimulusvpos3","stimulushpos3","stimulusonset3","stimulusnumber4","stimulusitem4","stimulusvpos4","stimulushpos4","stimulusonset4","stimulusnumber5","stimulusitem5","stimulusvpos5","stimulushpos5","stimulusonset5","stimulusnumber6","stimulusitem6","stimulusvpos6","stimulushpos6","stimulusonset6","stimulusnumber7","stimulusitem7","stimulusvpos7","stimulushpos7","stimulusonset7","stimulusnumber8","stimulusitem8","stimulusvpos8","stimulushpos8","stimulusonset8","stimulusnumber9","stimulusitem9","stimulusvpos9","stimulushpos9","stimulusonset9"
"060417","21:18:09","462563064","576824149","4.0.10.0","1","1","RMTS_test_2","A_negative_antonyms_left","750","0","0","0","0","0","18","1","6368","0","1","middle_rectangle","50pct","50pct","7","4","pic4.jpg","50","40","7","6","insect6.jpg","50","58","7","1","left_rectangle","15pct","15pct","7","1","right_rectangle","15pct","85pct","7","6","slow         fast","15","15","7","6","slow         slow","15","85","7","1","Press E","4","15","7","1","Press I","4","85","7"
"060417","21:18:09","462563064","576824149","4.0.10.0","1","2","RMTS_test_2","A_positive_synonyms_right","750","0","0","0","0","0","18","0","3538","0","1","middle_rectangle","50pct","50pct","8","3","pic3.jpg","50","40","8","3","flower3.jpg","50","58","8","1","left_rectangle","15pct","15pct","8","1","right_rectangle","15pct","85pct","8","1","top          bottom","15","15","8","1","top          top","15","85","8","1","Press E","4","15","8","1","Press I","4","85","8"
"060417","21:18:09","462563064","576824149","4.0.10.0","1","3","RMTS_test_2","A_negative_antonyms_left","750","0","0","0","0","0","18","1","3292","0","1","middle_rectangle","50pct","50pct","4","2","pic2.jpg","50","40","4","3","insect3.jpg","50","58","4","1","left_rectangle","15pct","15pct","4","1","right_rectangle","15pct","85pct","4","3","empty        full","15","15","4","3","empty        empty","15","85","4","1","Press E","4","15","4","1","Press I","4","85","4"
"060417","21:18:09","462563064","576824149","4.0.10.0","1","4","RMTS_test_2","A_positive_synonyms_right","750","0","0","0","0","0","18","0","2876","0","1","middle_rectangle","50pct","50pct","2","1","pic1.jpg","50","40","2","4","flower4.jpg","50","58","2","1","left_rectangle","15pct","15pct","2","1","right_rectangle","15pct","85pct","2","5","fast         slow","15","15","2","5","fast         fast","15","85","2","1","Press E","4","15","2","1","Press I","4","85","2"
"060417","21:18:09","462563064","576824149","4.0.10.0","1","5","RMTS_test_2","A_negative_antonyms_left","750","0","0","0","0","0","23","0","1713","0","1","middle_rectangle","50pct","50pct","3","6","pic5.jpg","50","40","3","1","insect1.jpg","50","58","3","1","left_rectangle","15pct","15pct","3","1","right_rectangle","15pct","85pct","3","4","full         empty","15","15","3","4","full         full","15","85","3","1","Press E","4","15","3","1","Press I","4","85","3"
"060417","21:18:09","462563064","576824149","4.0.10.0","1","6","RMTS_test_2","A_positive_synonyms_right","750","0","0","0","0","0","18","0","1182","0","1","middle_rectangle","50pct","50pct","4","5","pic5.jpg","50","40","4","6","flower6.jpg","50","58","4","1","left_rectangle","15pct","15pct","4","1","right_rectangle","15pct","85pct","4","2","bottom       top","15","15","4","2","bottom       bottom","15","85","4","1","Press E","4","15","4","1","Press I","4","85","4"
"060417","21:18:09","462563064","576824149","4.0.10.0","1","7","RMTS_test_2","A_negative_antonyms_left","750","0","0","0","0","0","23","0","1603","0","1","middle_rectangle","50pct","50pct","3","2","pic2.jpg","50","40","3","4","insect4.jpg","50","58","3","1","left_rectangle","15pct","15pct","3","1","right_rectangle","15pct","85pct","3","1","top          bottom","15","15","3","1","top          top","15","85","3","1","Press E","4","15","3","1","Press I","4","85","3"
"060417","21:18:09","462563064","576824149","4.0.10.0","1","8","RMTS_test_2","A_positive_synonyms_right","750","0","0","0","0","0","18","0","1978","0","1","middle_rectangle","50pct","50pct","4","5","pic5.jpg","50","40","4","2","flower2.jpg","50","58","4","1","left_rectangle","15pct","15pct","4","1","right_rectangle","15pct","85pct","4","2","bottom       top","15","15","4","2","bottom       bottom","15","85","4","1","Press E","4","15","4","1","Press I","4","85","4"
"060417","21:18:09","462563064","576824149","4.0.10.0","1","9","RMTS_test_2","A_negative_antonyms_left","750","0","0","0","0","0","18","1","1007","0","1","middle_rectangle","50pct","50pct","4","1","pic1.jpg","50","40","4","2","insect2.jpg","50","58","4","1","left_rectangle","15pct","15pct","4","1","right_rectangle","15pct","85pct","4","3","empty        full","15","15","4","3","empty        empty","15","85","4","1","Press E","4","15","4","1","Press I","4","85","4"
"060417","21:18:09","462563064","576824149","4.0.10.0","1","10","RMTS_test_2","A_positive_synonyms_right","750","0","0","0","0","0","23","1","747","0","1","middle_rectangle","50pct","50pct","3","6","pic5.jpg","50","40","3","1","flower1.jpg","50","58","3","1","left_rectangle","15pct","15pct","3","1","right_rectangle","15pct","85pct","3","5","fast         slow","15","15","3","5","fast         fast","15","85","3","1","Press E","4","15","3","1","Press I","4","85","3"
