"","V1","date","time","group","subject","build","blocknum","trialnum","blockcode","trialcode","pretrialpause","posttrialpause","windowcenter","trialduration","trialtimeout","blocktimeout","response","correct","latency","inwindow"
"1","1","060417","16:24:54","945186093","455843278","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","25","1","1492","0"
"2","2","060417","16:24:54","945186093","455843278","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Male","1","11124","0"
"3","3","060417","16:23:49","945186093","455843278","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","25","1","1828","0"
"4","4","060417","16:23:49","945186093","455843278","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Male","1","3504","0"
"5","5","060417","16:17:48","912251804","453917922","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","39","1","4487","0"
"6","6","060417","16:17:48","912251804","453917922","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Male","1","4898","0"
"7","7","060417","21:11:49","462563064","576824149","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","32","1","4149","0"
"8","8","060417","21:11:49","462563064","576824149","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","female","1","7727","0"
"9","9","060417","13:05:53","160297430","162872485","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","20","1","9303","0"
"10","10","060417","13:05:53","160297430","162872485","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Female","1","12603","0"
"11","11","060517","04:02:19","735441873","441229036","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","24","1","3212","0"
"12","12","060517","04:02:19","735441873","441229036","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","male","1","3235","0"
"13","13","060417","12:59:23","10404180","891714010","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","27","1","2741","0"
"14","14","060417","12:59:23","10404180","891714010","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Male","1","3530","0"
"15","15","060417","20:58:44","629660402","347074539","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","30","1","33901","0"
"16","16","060417","20:58:44","629660402","347074539","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Female","1","5121","0"
"17","17","060417","15:52:12","337976538","647995710","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","19","1","2205","0"
"18","18","060417","15:52:12","337976538","647995710","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Female","1","6073","0"
"19","19","060417","20:52:05","425743518","728533097","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","56","1","4872","0"
"20","20","060417","20:52:05","425743518","728533097","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","male","1","6542","0"
"21","21","060417","20:50:44","535351414","133849929","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","33","1","3574","0"
"22","22","060417","20:50:44","535351414","133849929","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","female","1","12132","0"
"23","23","060417","14:48:41","270797721","498755454","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","52","1","3231","0"
"24","24","060417","14:48:41","270797721","498755454","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","male","1","3186","0"
"25","25","060417","20:54:25","324572874","493095005","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","34","1","5139","0"
"26","26","060417","20:54:25","324572874","493095005","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Female","1","5473","0"
"27","27","060417","14:46:32","495735348","627215132","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","42","1","2648","0"
"28","28","060417","14:46:32","495735348","627215132","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","male","1","3779","0"
"29","29","060417","20:46:09","132075648","380309630","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","59","1","4054","0"
"30","30","060417","20:46:09","132075648","380309630","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Female","1","5410","0"
"31","31","060417","20:43:57","406114516","495705547","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","48","1","8145","0"
"32","32","060417","20:43:57","406114516","495705547","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","male","1","7627","0"
"33","33","060417","15:40:55","400780855","205768215","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","38","1","9102","0"
"34","34","060417","15:40:55","400780855","205768215","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","female","1","14320","0"
"35","35","060417","15:44:01","780160822","791044348","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","21","1","3214","0"
"36","36","060417","15:44:01","780160822","791044348","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Male","1","2741","0"
"37","37","060417","15:42:38","780160822","791044348","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","21","1","2034","0"
"38","38","060417","15:42:38","780160822","791044348","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Male","1","4464","0"
"39","39","060417","20:41:13","880548285","810152956","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","36","1","4093","0"
"40","40","060417","20:41:13","880548285","810152956","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","male","1","4673","0"
"41","41","060417","20:36:21","936534540","948795071","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","25","1","1982","0"
"42","42","060417","20:36:21","936534540","948795071","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Male","1","4227","0"
"43","43","060417","20:33:48","785399514","181428494","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","37","1","8176","0"
"44","44","060417","20:33:48","785399514","181428494","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","male","1","6881","0"
"45","45","060417","20:31:13","872755866","154616245","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","49","1","3888","0"
"46","46","060417","20:31:13","872755866","154616245","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","female","1","6427","0"
"47","47","060417","15:29:50","505846479","887228097","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","19","1","2196","0"
"48","48","060417","15:29:50","505846479","887228097","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","female","1","4085","0"
"49","49","060417","12:29:20","698713139","664616672","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","30","1","2719","0"
"50","50","060417","12:29:20","698713139","664616672","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Male","1","3381","0"
"51","51","060417","20:28:05","30300769","284566866","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","19","1","2573","0"
"52","52","060417","20:28:05","30300769","284566866","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Male","1","4077","0"
"53","53","060417","14:28:29","575567236","265367309","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","29","1","2626","0"
"54","54","060417","14:28:29","575567236","265367309","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Male","1","4252","0"
"55","55","060417","20:28:00","298554245","677591777","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","45","1","6587","0"
"56","56","060417","20:28:00","298554245","677591777","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Male","1","8355","0"
"57","57","060417","20:28:01","146626409","604371446","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","27","1","3645","0"
"58","58","060417","20:28:01","146626409","604371446","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Genderfluid","1","6434","0"
"59","59","060417","15:28:23","5027230","182044162","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","39","1","3110","0"
"60","60","060417","15:28:23","5027230","182044162","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Male","1","5927","0"
"61","61","060417","20:23:29","868205906","769080369","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","31","1","4148","0"
"62","62","060417","20:23:29","868205906","769080369","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","male","1","5990","0"
"63","63","060417","20:26:42","25672302","962655617","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","37","1","3554","0"
"64","64","060417","20:26:42","25672302","962655617","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","male","1","3338","0"
"65","65","060417","12:27:05","920241848","256123597","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","30","1","9362","0"
"66","66","060417","12:27:05","920241848","256123597","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Female","1","22399","0"
"67","67","060417","14:26:22","52706880","930327382","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","21","1","4299","0"
"68","68","060417","14:26:22","52706880","930327382","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","female","1","4865","0"
"69","69","060417","20:27:22","722134783","641195027","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","53","1","4067","0"
"70","70","060417","20:27:22","722134783","641195027","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","F","1","2253","0"
"71","71","060417","20:27:30","484006725","776510904","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","34","1","2331","0"
"72","72","060417","20:27:30","484006725","776510904","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","female","1","2970","0"
"73","73","060417","15:15:08","107177352","455114621","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","26","1","3404","0"
"74","74","060417","15:15:08","107177352","455114621","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","female","1","3520","0"
"75","75","060417","20:26:52","304221558","311564819","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","34","1","2624","0"
"76","76","060417","20:26:52","304221558","311564819","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","male","1","3515","0"
"77","77","060417","12:26:26","348493498","268205895","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","39","1","3150","0"
"78","78","060417","12:26:26","348493498","268205895","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Male","1","4313","0"
"79","79","060417","20:24:33","839245560","979890932","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","29","1","3593","0"
"80","80","060417","20:24:33","839245560","979890932","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Female","1","84564","0"
"81","81","060417","20:25:07","847291595","867396607","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","32","1","2393","0"
"82","82","060417","20:25:07","847291595","867396607","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Female","1","4921","0"
"83","83","060417","15:25:12","840495957","837274324","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","26","1","2573","0"
"84","84","060417","15:25:12","840495957","837274324","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","male","1","4844","0"
"85","85","060417","15:25:07","772373814","904483451","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","22","1","1563","0"
"86","86","060417","15:25:07","772373814","904483451","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","female","1","2631","0"
