"","date","time","group","subject","build","blocknum","trialnum","blockcode","trialcode","pretrialpause","posttrialpause","windowcenter","trialduration","trialtimeout","blocktimeout","response","correct","latency","inwindow"
"1","062117","15:56:30","565971031","26704522","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","22","1","2605","0"
"2","062117","15:56:30","565971031","26704522","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Male","1","3406","0"
"3","062117","10:29:20","881191013","258361238","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","36","1","4530","0"
"4","062117","10:29:20","881191013","258361238","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","36","1","13434","0"
"5","062117","15:11:31","144951235","879999958","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","61","1","7989","0"
"6","062117","15:11:31","144951235","879999958","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","female","1","5529","0"
"7","062117","15:03:29","793620863","170791088","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","32","1","3664","0"
"8","062117","15:03:29","793620863","170791088","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Female","1","9294","0"
"9","062117","15:02:49","662307054","428912064","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","36","1","4290","0"
"10","062117","15:02:49","662307054","428912064","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","female","1","5776","0"
"11","062117","15:02:22","62951136","50686562","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","40","1","3692","0"
"12","062117","15:02:22","62951136","50686562","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","FEMALE","1","5166","0"
"13","062117","15:01:56","144951235","879999958","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","61","1","4572","0"
"14","062117","15:01:56","144951235","879999958","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","female","1","6162","0"
"15","062117","10:01:01","446007759","823457465","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","36","1","3090","0"
"16","062117","10:01:01","446007759","823457465","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","male","1","4189","0"
"17","062117","14:59:41","689550033","677285459","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","27","1","3224","0"
"18","062117","14:59:41","689550033","677285459","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Female","1","2940","0"
"19","062117","07:59:00","316219805","471670683","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","25","1","2846","0"
"20","062117","07:59:00","316219805","471670683","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","Male","1","3688","0"
"21","062117","09:59:06","720371518","431495949","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","32","1","2796","0"
"22","062117","09:59:06","720371518","431495949","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","female","1","5288","0"
"23","062117","09:53:32","718789367","95370674","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","59","1","3740","0"
"24","062117","09:53:32","718789367","95370674","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","female","1","4261","0"
"25","062117","14:58:11","92016996","858621994","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","33","1","3155","0"
"26","062117","14:58:11","92016996","858621994","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","female","1","4625","0"
"27","060617","18:57:53","603677508","373876443","4.0.10.0","1","2","demographics","age","0","0","0","0","0","0","28","1","5729","0"
"28","060617","18:57:53","603677508","373876443","4.0.10.0","1","3","demographics","gender","0","0","0","0","0","0","female","1","6005","0"
