"script.startdate","script.starttime","script.subjectid","script.groupid","script.elapsedtime","values.completed","expressions.m1","expressions.sd1","expressions.m2","expressions.sd2","expressions.d","expressions.latdiff","expressions.percentcorrect"
"062117","16:02:27","26704522","565971031","157606","1","711.1000000000000227374","336.8207345849967282447","700.6000000000000227374","333.4617897411805529373","-0.0314390743936360864","-10.5","91.4285714285714306016"
"062117","10:42:57","258361238","881191013","293879","1","1246.5428571428572013247","845.6826705662509766626","1425.3088235294117112062","1672.4765554642910956318","0.1356699558126189809","178.7659663865545098815","91.4285714285714306016"
"062117","15:16:02","879999958","144951235","157597","1","683.6857142857143116998","191.1034732131262501298","717.5571428571428214127","342.4298779678138089366","0.1223623998569395299","33.8714285714285097129","99.2857142857142918047"
"062117","15:09:07","170791088","793620863","161873","1","710.8428571428571558499","247.2445035050476747074","685.1428571428571103752","269.2026490445219337744","-0.0996710494969554467","-25.7000000000000454747","93.5714285714285693984"
"062117","15:07:46","428912064","662307054","162120","1","718.4142857142857110375","312.9126605401162350972","774.3999999999999772626","342.4124303581401704832","0.170678966899971557","55.9857142857142662251","92.1428571428571387969"
"062117","15:07:18","879999958","144951235","164947","1","730.2285714285713993377","205.7531355654904245966","691.8428571428571558499","290.1612563013626981956","-0.1527145401460929808","-38.3857142857142434877","99.2857142857142918047"
"062117","15:06:21","50686562","62951136","153176","1","728.8857142857142434877","334.2654305396091558578","735.6428571428571103752","229.5484562980546741073","0.0236499536816536342","6.7571428571428668874","95.7142857142857224062"
"062117","10:05:52","823457465","446007759","142937","1","586.8571428571428896248","210.8369990434113958599","547.6285714285713766003","136.123044448079212998","-0.2204973168245966675","-39.2285714285715130245","97.8571428571428469922"
"062117","08:05:21","471670683","316219805","144306","1","627.2285714285713993377","191.9953329315452492665","604.7857142857143344372","179.0755563035456532361","-0.1211023754830276439","-22.4428571428570649005","92.8571428571428612031"
"062117","15:04:10","677285459","689550033","140598","1","530.5285714285714675498","159.314357134672434313","620.671428571428577925","213.389194776129585307","0.4670616795348843109","90.1428571428571387969","95"
"062117","09:57:14","95370674","718789367","139612","1","591.4857142857142662251","282.8174370358224791744","589.6428571428571103752","156.9805707274673238771","-0.0080862234460558433","-1.8428571428571558499","96.4285714285714306016"
"062117","15:01:34","858621994","92016996","129899","1","583.328571428571422075","456.4519029991580509886","547.4571428571429123622","116.5056054774207154878","-0.1079179599042990045","-35.8714285714285097129","97.1428571428571387969"
"062117","10:01:18","431495949","720371518","63936","1","119.9428571428571359547","84.0544829718228498905","126.8857142857142861203","119.420040905085343752","0.0674395220430531045","6.9428571428571501656","45.7142857142857153008"
"060617","19:05:50","373876443","603677508","245052","1","1145.8840579710144993442","1028.6504799440735951066","1082.5857142857141752756","622.8698306066183931762","-0.074785756795910055","-63.2983436853003240685","89.2857142857142918047"
"060617","20:03:15","1882272","901978231","174652","1","834.6142857142857565123","147.9490994391133256158","759.5428571428570876378","175.0552447553520778456","-0.452724625271040626","-75.0714285714286688744","100"
"060617","12:41:19","375336464","550816196","163237","1","704.8999999999999772626","337.4312232659904111642","863.2999999999999545253","451.1137377068295677418","0.3913104980066710592","158.3999999999999772626","92.8571428571428612031"
"060617","19:38:29","314274383","672297925","164201","1","655.4571428571429123622","228.6349337246050765771","688.4571428571429123622","304.0000803639426294467","0.1228995029831548152","33","98.5714285714285836093"
"060617","19:36:51","742786880","226605828","161146","1","707.5285714285714675498","201.1633355699783010095","669.2285714285713993377","206.7395737292590069956","-0.18761435741476995","-38.3000000000000682121","97.8571428571428469922"
"060617","11:37:14","74874835","104268403","133136","1","540.1285714285713766003","82.4944304538230568369","509.2714285714285438189","99.3380878293004343504","-0.3343689087575910657","-30.8571428571428327814","95.7142857142857224062"
"060617","14:36:40","918057199","199907333","156193","1","704.828571428571422075","268.5197734563694780263","677.5","150.7964123280606827393","-0.1256992867851441931","-27.328571428571422075","96.4285714285714306016"
"060617","19:35:33","635301861","306586780","140287","1","608.7285714285713993377","177.6019749064838322283","558.5857142857142889625","208.1610645112767485898","-0.25790527193968249","-50.1428571428571103752","95.7142857142857224062"
"060617","13:34:42","644806296","606005207","134409","1","541.0571428571428214127","116.009605513632394036","577.5","158.8398838316503258739","0.2607093963124043623","36.4428571428571785873","93.5714285714285693984"
"060617","19:35:08","572302195","319760535","149703","1","659.1428571428571103752","152.0896270571571164965","608.2999999999999545253","212.7899794687684220662","-0.2732924901589277034","-50.8428571428571558499","99.2857142857142918047"
"060617","13:35:10","976870162","244246070","143632","1","621.3857142857142434877","218.0720059818789877681","687.5285714285714675498","344.2811760136617067474","0.2288329177827440331","66.1428571428571387969","95.7142857142857081953"
"060617","19:34:23","903926114","485796497","155531","1","590.0857142857142889625","148.016327228768943769","664.7857142857143344372","175.5304088488424554271","0.4498425108945451334","74.7000000000000454747","97.1428571428571387969"
"060617","19:34:21","354780889","712804430","143012","1","646.8999999999999772626","306.7927190527312859558","570.0714285714285551876","249.0937383319591162945","-0.2733277986673176563","-76.828571428571422075","97.1428571428571387969"
"060617","19:33:40","941074849","283729795","170414","1","734.9142857142857110375","389.4640592097672424643","649.2285714285713993377","247.5973338942744419455","-0.2612467407893915849","-85.6857142857143116998","92.8571428571428612031"
"060617","19:33:40","960674901","150394087","145303","1","584.2999999999999545253","147.9003140583236586281","597.828571428571422075","139.1159428270327396149","0.0944607868133869183","13.5285714285714675498","99.2857142857142918047"
