"build","date","time","subject","blockcode","blocknum","trialcode","trialnum","stimulusitem1","response"
"4.0.10.0","062117","16:05:11","26704522","ratings","1","images","1","pic5.jpg","4"
"4.0.10.0","062117","16:05:11","26704522","ratings","1","images","2","pic4.jpg","4"
"4.0.10.0","062117","16:05:11","26704522","ratings","1","images","3","pic6.jpg","4"
"4.0.10.0","062117","16:05:11","26704522","ratings","1","images","4","pic3.jpg","4"
"4.0.10.0","062117","16:05:11","26704522","ratings","1","images","5","pic1.jpg","4"
"4.0.10.0","062117","16:05:11","26704522","ratings","1","images","6","pic2.jpg","4"
"4.0.10.0","062117","10:47:53","258361238","ratings","1","images","1","pic3.jpg","6"
"4.0.10.0","062117","10:47:53","258361238","ratings","1","images","2","pic1.jpg","5"
"4.0.10.0","062117","10:47:53","258361238","ratings","1","images","3","pic6.jpg","5"
"4.0.10.0","062117","10:47:53","258361238","ratings","1","images","4","pic2.jpg","6"
"4.0.10.0","062117","10:47:53","258361238","ratings","1","images","5","pic4.jpg","4"
"4.0.10.0","062117","10:47:53","258361238","ratings","1","images","6","pic5.jpg","5"
"4.0.10.0","062117","15:18:44","879999958","ratings","1","images","1","pic3.jpg","4"
"4.0.10.0","062117","15:18:44","879999958","ratings","1","images","2","pic2.jpg","4"
"4.0.10.0","062117","15:18:44","879999958","ratings","1","images","3","pic5.jpg","4"
"4.0.10.0","062117","15:18:44","879999958","ratings","1","images","4","pic1.jpg","4"
"4.0.10.0","062117","15:18:44","879999958","ratings","1","images","5","pic6.jpg","4"
"4.0.10.0","062117","15:18:44","879999958","ratings","1","images","6","pic4.jpg","4"
"4.0.10.0","062117","15:11:52","170791088","ratings","1","images","1","pic2.jpg","5"
"4.0.10.0","062117","15:11:52","170791088","ratings","1","images","2","pic3.jpg","5"
"4.0.10.0","062117","15:11:52","170791088","ratings","1","images","3","pic4.jpg","5"
"4.0.10.0","062117","15:11:52","170791088","ratings","1","images","4","pic6.jpg","6"
"4.0.10.0","062117","15:11:52","170791088","ratings","1","images","5","pic5.jpg","6"
"4.0.10.0","062117","15:11:52","170791088","ratings","1","images","6","pic1.jpg","6"
"4.0.10.0","062117","15:10:33","428912064","ratings","1","images","1","pic4.jpg","4"
"4.0.10.0","062117","15:10:33","428912064","ratings","1","images","2","pic1.jpg","4"
"4.0.10.0","062117","15:10:33","428912064","ratings","1","images","3","pic3.jpg","4"
"4.0.10.0","062117","15:10:33","428912064","ratings","1","images","4","pic2.jpg","4"
"4.0.10.0","062117","15:10:33","428912064","ratings","1","images","5","pic5.jpg","4"
"4.0.10.0","062117","15:10:33","428912064","ratings","1","images","6","pic6.jpg","4"
"4.0.10.0","062117","15:10:07","879999958","ratings","1","images","1","pic3.jpg","4"
"4.0.10.0","062117","15:10:07","879999958","ratings","1","images","2","pic2.jpg","4"
"4.0.10.0","062117","15:10:07","879999958","ratings","1","images","3","pic5.jpg","4"
"4.0.10.0","062117","15:10:07","879999958","ratings","1","images","4","pic1.jpg","4"
"4.0.10.0","062117","15:10:07","879999958","ratings","1","images","5","pic6.jpg","4"
"4.0.10.0","062117","15:10:07","879999958","ratings","1","images","6","pic4.jpg","4"
"4.0.10.0","062117","15:09:01","50686562","ratings","1","images","1","pic6.jpg","3"
"4.0.10.0","062117","15:09:01","50686562","ratings","1","images","2","pic2.jpg","3"
"4.0.10.0","062117","15:09:01","50686562","ratings","1","images","3","pic4.jpg","5"
"4.0.10.0","062117","15:09:01","50686562","ratings","1","images","4","pic5.jpg","6"
"4.0.10.0","062117","15:09:01","50686562","ratings","1","images","5","pic1.jpg","4"
"4.0.10.0","062117","15:09:01","50686562","ratings","1","images","6","pic3.jpg","2"
"4.0.10.0","062117","10:08:18","823457465","ratings","1","images","1","pic1.jpg","4"
"4.0.10.0","062117","10:08:18","823457465","ratings","1","images","2","pic4.jpg","4"
"4.0.10.0","062117","10:08:18","823457465","ratings","1","images","3","pic2.jpg","4"
"4.0.10.0","062117","10:08:18","823457465","ratings","1","images","4","pic5.jpg","4"
"4.0.10.0","062117","10:08:18","823457465","ratings","1","images","5","pic3.jpg","4"
"4.0.10.0","062117","10:08:18","823457465","ratings","1","images","6","pic6.jpg","4"
"4.0.10.0","062117","08:07:47","471670683","ratings","1","images","1","pic1.jpg","5"
"4.0.10.0","062117","08:07:47","471670683","ratings","1","images","2","pic4.jpg","5"
"4.0.10.0","062117","08:07:47","471670683","ratings","1","images","3","pic3.jpg","5"
"4.0.10.0","062117","08:07:47","471670683","ratings","1","images","4","pic6.jpg","5"
"4.0.10.0","062117","08:07:47","471670683","ratings","1","images","5","pic2.jpg","5"
"4.0.10.0","062117","08:07:47","471670683","ratings","1","images","6","pic5.jpg","6"
"4.0.10.0","062117","15:06:38","677285459","ratings","1","images","1","pic1.jpg","4"
"4.0.10.0","062117","15:06:38","677285459","ratings","1","images","2","pic3.jpg","4"
"4.0.10.0","062117","15:06:38","677285459","ratings","1","images","3","pic2.jpg","4"
"4.0.10.0","062117","15:06:38","677285459","ratings","1","images","4","pic5.jpg","4"
"4.0.10.0","062117","15:06:38","677285459","ratings","1","images","5","pic4.jpg","4"
"4.0.10.0","062117","15:06:38","677285459","ratings","1","images","6","pic6.jpg","4"
"4.0.10.0","062117","09:59:38","95370674","ratings","1","images","1","pic3.jpg","3"
"4.0.10.0","062117","09:59:38","95370674","ratings","1","images","2","pic6.jpg","5"
"4.0.10.0","062117","09:59:38","95370674","ratings","1","images","3","pic2.jpg","6"
"4.0.10.0","062117","09:59:38","95370674","ratings","1","images","4","pic1.jpg","5"
"4.0.10.0","062117","09:59:38","95370674","ratings","1","images","5","pic5.jpg","2"
"4.0.10.0","062117","09:59:38","95370674","ratings","1","images","6","pic4.jpg","6"
"4.0.10.0","062117","15:03:47","858621994","ratings","1","images","1","pic2.jpg","4"
"4.0.10.0","062117","15:03:47","858621994","ratings","1","images","2","pic3.jpg","4"
"4.0.10.0","062117","15:03:47","858621994","ratings","1","images","3","pic1.jpg","4"
"4.0.10.0","062117","15:03:47","858621994","ratings","1","images","4","pic4.jpg","4"
"4.0.10.0","062117","15:03:47","858621994","ratings","1","images","5","pic5.jpg","4"
"4.0.10.0","062117","15:03:47","858621994","ratings","1","images","6","pic6.jpg","4"
"4.0.10.0","062117","10:02:25","431495949","ratings","1","images","1","pic1.jpg","5"
"4.0.10.0","062117","10:02:25","431495949","ratings","1","images","2","pic5.jpg","5"
"4.0.10.0","062117","10:02:25","431495949","ratings","1","images","3","pic3.jpg","6"
"4.0.10.0","062117","10:02:25","431495949","ratings","1","images","4","pic2.jpg","5"
"4.0.10.0","062117","10:02:25","431495949","ratings","1","images","5","pic4.jpg","5"
"4.0.10.0","062117","10:02:25","431495949","ratings","1","images","6","pic6.jpg","6"
"4.0.10.0","060617","19:10:12","373876443","ratings","1","images","1","pic3.jpg","1"
"4.0.10.0","060617","19:10:12","373876443","ratings","1","images","2","pic4.jpg","1"
"4.0.10.0","060617","19:10:12","373876443","ratings","1","images","3","pic2.jpg","2"
"4.0.10.0","060617","19:10:12","373876443","ratings","1","images","4","pic6.jpg","3"
"4.0.10.0","060617","19:10:12","373876443","ratings","1","images","5","pic1.jpg","2"
"4.0.10.0","060617","19:10:12","373876443","ratings","1","images","6","pic5.jpg","3"
"4.0.10.0","060617","20:06:13","1882272","ratings","1","images","1","pic2.jpg","5"
"4.0.10.0","060617","20:06:13","1882272","ratings","1","images","2","pic3.jpg","5"
"4.0.10.0","060617","20:06:13","1882272","ratings","1","images","3","pic5.jpg","2"
"4.0.10.0","060617","20:06:13","1882272","ratings","1","images","4","pic1.jpg","2"
"4.0.10.0","060617","20:06:13","1882272","ratings","1","images","5","pic6.jpg","6"
"4.0.10.0","060617","20:06:13","1882272","ratings","1","images","6","pic4.jpg","3"
"4.0.10.0","060617","12:44:04","375336464","ratings","1","images","1","pic6.jpg","4"
"4.0.10.0","060617","12:44:04","375336464","ratings","1","images","2","pic1.jpg","5"
"4.0.10.0","060617","12:44:04","375336464","ratings","1","images","3","pic4.jpg","5"
"4.0.10.0","060617","12:44:04","375336464","ratings","1","images","4","pic3.jpg","6"
"4.0.10.0","060617","12:44:04","375336464","ratings","1","images","5","pic2.jpg","6"
"4.0.10.0","060617","12:44:04","375336464","ratings","1","images","6","pic5.jpg","7"
"4.0.10.0","060617","19:41:18","314274383","ratings","1","images","1","pic5.jpg","4"
"4.0.10.0","060617","19:41:18","314274383","ratings","1","images","2","pic1.jpg","4"
"4.0.10.0","060617","19:41:18","314274383","ratings","1","images","3","pic3.jpg","4"
"4.0.10.0","060617","19:41:18","314274383","ratings","1","images","4","pic4.jpg","4"
"4.0.10.0","060617","19:41:18","314274383","ratings","1","images","5","pic2.jpg","4"
"4.0.10.0","060617","19:41:18","314274383","ratings","1","images","6","pic6.jpg","4"
"4.0.10.0","060617","19:39:38","742786880","ratings","1","images","1","pic4.jpg","4"
"4.0.10.0","060617","19:39:38","742786880","ratings","1","images","2","pic1.jpg","4"
"4.0.10.0","060617","19:39:38","742786880","ratings","1","images","3","pic6.jpg","4"
"4.0.10.0","060617","19:39:38","742786880","ratings","1","images","4","pic5.jpg","4"
"4.0.10.0","060617","19:39:38","742786880","ratings","1","images","5","pic3.jpg","4"
"4.0.10.0","060617","19:39:38","742786880","ratings","1","images","6","pic2.jpg","5"
"4.0.10.0","060617","11:39:28","74874835","ratings","1","images","1","pic4.jpg","4"
"4.0.10.0","060617","11:39:28","74874835","ratings","1","images","2","pic3.jpg","5"
"4.0.10.0","060617","11:39:28","74874835","ratings","1","images","3","pic2.jpg","4"
"4.0.10.0","060617","11:39:28","74874835","ratings","1","images","4","pic6.jpg","6"
"4.0.10.0","060617","11:39:28","74874835","ratings","1","images","5","pic1.jpg","3"
"4.0.10.0","060617","11:39:28","74874835","ratings","1","images","6","pic5.jpg","3"
"4.0.10.0","060617","14:39:20","918057199","ratings","1","images","1","pic4.jpg","2"
"4.0.10.0","060617","14:39:20","918057199","ratings","1","images","2","pic6.jpg","2"
"4.0.10.0","060617","14:39:20","918057199","ratings","1","images","3","pic2.jpg","2"
"4.0.10.0","060617","14:39:20","918057199","ratings","1","images","4","pic1.jpg","2"
"4.0.10.0","060617","14:39:20","918057199","ratings","1","images","5","pic3.jpg","2"
"4.0.10.0","060617","14:39:20","918057199","ratings","1","images","6","pic5.jpg","2"
"4.0.10.0","060617","19:37:59","635301861","ratings","1","images","1","pic1.jpg","5"
"4.0.10.0","060617","19:37:59","635301861","ratings","1","images","2","pic2.jpg","4"
"4.0.10.0","060617","19:37:59","635301861","ratings","1","images","3","pic5.jpg","4"
"4.0.10.0","060617","19:37:59","635301861","ratings","1","images","4","pic6.jpg","5"
"4.0.10.0","060617","19:37:59","635301861","ratings","1","images","5","pic3.jpg","5"
"4.0.10.0","060617","19:37:59","635301861","ratings","1","images","6","pic4.jpg","4"
"4.0.10.0","060617","13:37:00","644806296","ratings","1","images","1","pic6.jpg","6"
"4.0.10.0","060617","13:37:00","644806296","ratings","1","images","2","pic3.jpg","5"
"4.0.10.0","060617","13:37:00","644806296","ratings","1","images","3","pic5.jpg","6"
"4.0.10.0","060617","13:37:00","644806296","ratings","1","images","4","pic2.jpg","3"
"4.0.10.0","060617","13:37:00","644806296","ratings","1","images","5","pic4.jpg","3"
"4.0.10.0","060617","13:37:00","644806296","ratings","1","images","6","pic1.jpg","5"
"4.0.10.0","060617","13:37:36","976870162","ratings","1","images","1","pic4.jpg","5"
"4.0.10.0","060617","13:37:36","976870162","ratings","1","images","2","pic6.jpg","4"
"4.0.10.0","060617","13:37:36","976870162","ratings","1","images","3","pic5.jpg","6"
"4.0.10.0","060617","13:37:36","976870162","ratings","1","images","4","pic3.jpg","6"
"4.0.10.0","060617","13:37:36","976870162","ratings","1","images","5","pic2.jpg","5"
"4.0.10.0","060617","13:37:36","976870162","ratings","1","images","6","pic1.jpg","6"
"4.0.10.0","060617","19:37:41","572302195","ratings","1","images","1","pic6.jpg","4"
"4.0.10.0","060617","19:37:41","572302195","ratings","1","images","2","pic4.jpg","4"
"4.0.10.0","060617","19:37:41","572302195","ratings","1","images","3","pic5.jpg","4"
"4.0.10.0","060617","19:37:41","572302195","ratings","1","images","4","pic3.jpg","4"
"4.0.10.0","060617","19:37:41","572302195","ratings","1","images","5","pic1.jpg","4"
"4.0.10.0","060617","19:37:41","572302195","ratings","1","images","6","pic2.jpg","4"
"4.0.10.0","060617","19:37:04","903926114","ratings","1","images","1","pic1.jpg","4"
"4.0.10.0","060617","19:37:04","903926114","ratings","1","images","2","pic2.jpg","4"
"4.0.10.0","060617","19:37:04","903926114","ratings","1","images","3","pic4.jpg","4"
"4.0.10.0","060617","19:37:04","903926114","ratings","1","images","4","pic3.jpg","3"
"4.0.10.0","060617","19:37:04","903926114","ratings","1","images","5","pic5.jpg","4"
"4.0.10.0","060617","19:37:04","903926114","ratings","1","images","6","pic6.jpg","5"
"4.0.10.0","060617","19:36:48","354780889","ratings","1","images","1","pic6.jpg","4"
"4.0.10.0","060617","19:36:48","354780889","ratings","1","images","2","pic4.jpg","4"
"4.0.10.0","060617","19:36:48","354780889","ratings","1","images","3","pic1.jpg","3"
"4.0.10.0","060617","19:36:48","354780889","ratings","1","images","4","pic2.jpg","5"
"4.0.10.0","060617","19:36:48","354780889","ratings","1","images","5","pic3.jpg","4"
